1 4.46324330e-01 4.70388571e-05
2 2.37279030e-01 6.03570945e-05
3 1.99274870e-01 5.99785468e-05
4 1.77180000e-01 6.12942085e-05
5 1.66794900e-01 6.50145001e-05
6 1.59384570e-01 6.21355630e-05
7 1.54812730e-01 5.67968883e-05
8 1.51247770e-01 6.73080263e-05
9 1.48778700e-01 6.27743428e-05
10 1.46783100e-01 6.07401451e-05
11 1.45370770e-01 7.04647537e-05
12 1.44227800e-01 6.68002894e-05
13 1.43502970e-01 6.54701710e-05
14 1.42914400e-01 6.82041152e-05
15 1.42649300e-01 7.03463677e-05
16 1.42588100e-01 8.40692354e-05
17 1.42649300e-01 7.03463677e-05
18 1.42914400e-01 6.82041152e-05
19 1.43502970e-01 6.54701710e-05
20 1.44227800e-01 6.68002894e-05
21 1.45370770e-01 7.04647537e-05
22 1.46783100e-01 6.07401451e-05
23 1.48778700e-01 6.27743428e-05
24 1.51247770e-01 6.73080263e-05
25 1.54812730e-01 5.67968883e-05
26 1.59384570e-01 6.21355630e-05
27 1.66794900e-01 6.50145001e-05
28 1.77180000e-01 6.12942085e-05
29 1.99274870e-01 5.99785468e-05
30 2.37279030e-01 6.03570945e-05
31 4.46324330e-01 4.70388571e-05
