0.0 4.79294720e+00 4.19996000e-03
1.0 1.52795048e+00 3.62469000e-03
2.0 5.75927440e-01 3.98501000e-03
3.0 2.16917160e-01 4.10489000e-03
4.0 8.22570000e-02 3.51105000e-03
5.0 2.98666000e-02 3.70816000e-03
6.0 1.11706800e-02 4.25301000e-03
7.0 5.10196000e-03 4.30229000e-03
8.0 2.28628000e-03 4.44660000e-03
9.0 5.23880000e-04 4.08490000e-03
10.0 1.63740000e-03 4.51835000e-03
11.0 1.68320000e-04 4.47651000e-03
12.0 2.46000000e-04 3.05446000e-03
13.0 2.52000000e-06 3.18333000e-03
14.0 1.47740000e-03 3.63385000e-03
15.0 1.09868000e-03 3.07782000e-03
