0.0 4.75879715e+00 4.45464000e-03
1.0 2.31033885e+00 6.05707000e-03
2.0 1.35718770e+00 6.33568000e-03
3.0 8.02001620e-01 5.48199000e-03
4.0 4.73114780e-01 5.02654000e-03
5.0 2.81066900e-01 3.95392000e-03
6.0 1.67346740e-01 3.67871000e-03
7.0 9.95524600e-02 4.41550000e-03
8.0 6.01080200e-02 4.64064000e-03
9.0 3.46358200e-02 4.12205000e-03
10.0 2.02750600e-02 4.50782000e-03
11.0 1.25904600e-02 4.49962000e-03
12.0 7.07166000e-03 4.26072000e-03
13.0 4.26202000e-03 3.65370000e-03
14.0 2.78314000e-03 4.18537000e-03
15.0 1.88190000e-03 4.25742000e-03
