1 4.50491930e-01 4.67435066e-05
2 2.38506870e-01 5.59009388e-05
3 1.99461570e-01 5.69850406e-05
4 1.77131870e-01 5.43814456e-05
5 1.66652870e-01 4.59004414e-05
6 1.59260500e-01 4.61614498e-05
7 1.54647400e-01 4.92377136e-05
8 1.51040800e-01 5.35245821e-05
9 1.48580400e-01 5.41142536e-05
10 1.46587630e-01 5.32346688e-05
11 1.45157000e-01 5.52037237e-05
12 1.44048000e-01 6.35603126e-05
13 1.43344830e-01 6.09292136e-05
14 1.42775070e-01 5.60579845e-05
15 1.42501230e-01 4.96236432e-05
16 1.42393830e-01 5.59110222e-05
17 1.42501230e-01 4.96236432e-05
18 1.42775070e-01 5.60579845e-05
19 1.43344830e-01 6.09292136e-05
20 1.44048000e-01 6.35603126e-05
21 1.45157000e-01 5.52037237e-05
22 1.46587630e-01 5.32346688e-05
23 1.48580400e-01 5.41142536e-05
24 1.51040800e-01 5.35245821e-05
25 1.54647400e-01 4.92377136e-05
26 1.59260500e-01 4.61614498e-05
27 1.66652870e-01 4.59004414e-05
28 1.77131870e-01 5.43814456e-05
29 1.99461570e-01 5.69850406e-05
30 2.38506870e-01 5.59009388e-05
31 4.50491930e-01 4.67435066e-05
